STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
New Hampshire,2003,203702.0,2028602,101294,957471,969837,2122604,1119824,570036,60830.0,214807
New Jersey,2003,1350330.0,19785039,797717,8135014,10852308,19812932,10169992,6429003,677268.0,1626453
New Mexico,2003,320264.0,2626262,383513,1905419,337330,2658140,1239571,851701,131177.0,399406
New York,2003,2879228.0,38033080,2591430,17509618,17932032,41603390,24786376,10000845,1156927.0,4489672
North Carolina,2003,1314632.0,9907235,888996,5970302,3047937,9989670,5517870,2721749,528694.0,940500
North Dakota,2003,103785.0,882913,126023,306647,450243,895278,448720,239435,60008.0,81014
Ohio,2003,1803966.0,18018740,1097349,7844992,9076399,18760200,8958790,6097596,800930.0,2324140
Oklahoma,2003,624202.0,4426835,563974,2272785,1590076,4376502,2158574,1402007,453806.0,307213
Oregon,2003,552135.0,4592019,407432,2348070,1836517,4978764,2458415,1546156,175667.0,606048
Pennsylvania,2003,1757066.0,19811545,1419644,6912678,11479223,20626459,10151195,5765734,810211.0,1848552
Rhode Island,2003,157286.0,1728055,109011,713197,905847,1646238,971700,525727,64258.0,31360
South Carolina,2003,691736.0,5709707,535356,2761951,2412400,6024747,2888468,1731328,324241.0,865462
South Dakota,2003,127632.0,965778,148498,328576,488704,993823,499480,295468,42694.0,122247
Tennessee,2003,905050.0,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055.0,635950
Texas,2003,4201914.0,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131.0,4764154
Utah,2003,483066.0,2875622,263030,1607204,1005388,2957874,1508566,705128,205147.0,469251
Vermont,2003,94901.0,1451171,79956,779124,592091,1440961,662999,345187,32289.0,46411
Virginia,2003,1175458.0,10504167,698716,4087720,5717731,10746679,5661291,3184333,425933.0,1069375
Washington,2003,1014577.0,8565636,702469,5334268,2528899,8802387,4332487,2514359,396084.0,1189781
West Virginia,2003,281591.0,2497707,267470,1519848,710389,2524444,1420396,761887,164473.0,166233
Wisconsin,2003,875390.0,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325.0,733156
Wyoming,2003,85966.0,962240,84308,489199,388733,915515,473447,292271,27608.0,110312
Alabama,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619
Alaska,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826
Arizona,2004,895927.0,7117923,835464,3181009,3101450,6731212,3224647,2115629,332228.0,829146
Arkansas,2004,453491.0,3385818,423001,2430731,532086,3539569,1863515,1036279,182711.0,362154
California,2004,6284502.0,60162326,6634068,31756690,21771568,62647953,29624968,17338877,3048006.0,9242549
Colorado,2004,756319.0,6527456,435102,2834744,3257610,6869975,3232723,2190563,245429.0,859189
Connecticut,2004,552505.0,7276945,358769,2520724,4397452,7087023,3896977,2044339,267004.0,587992
Delaware,2004,111520.0,1334523,104492,827110,402921,1373416,709545,393664,57010.0,158252
District of Columbia,2004,65099.0,1081501,167020,0,914481,1087040,515377,397800,36180.0,128227
Florida,2004,2592997.0,21623923,2174314,9593760,9855849,21896220,10411050,6317387,1298226.0,3365514
Georgia,2004,1522424.0,14136215,1201843,6333305,6601067,13779680,7492703,3675160,659431.0,1767711
Hawaii,2004,183609.0,2138137,236470,1850737,50930,1734591,943647,544864,129740.0,116340
Idaho,2004,252037.0,1733838,177528,1007906,548404,1744954,943113,507529,72821.0,183197
Illinois,2004,2079027.0,21082441,1752663,7265072,12064706,21681903,10829189,6608575,737667.0,2342761
Indiana,2004,1005587.0,10423578,651058,5044543,4727977,10312694,5005025,2986672,400765.0,913045
Iowa,2004,481226.0,4396136,353266,1953425,2089445,4443289,2256107,1236810,199965.0,533020
Kansas,2004,469824.0,4377709,339550,2250069,1788090,3982036,2132173,1229634,174522.0,286696
Kentucky,2004,663886.0,5135262,607212,2968391,1559659,5259909,2723672,1580235,329243.0,499029
Louisiana,2004,721414.0,5713792,785967,2740918,2186907,5708535,3137090,1743781,343543.0,372374
Maine,2004,201594.0,2228749,190456,870326,1167967,2291174,1304255,590947,87892.0,189418
Maryland,2004,869113.0,9123493,581542,3436703,5105248,8921938,4963083,2673482,393663.0,581423
Massachusetts,2004,962488.0,11979937,773841,4726087,6480009,12033345,6883753,3557933,356355.0,570871
Michigan,2004,1738976.0,18663799,1425832,11129404,6108563,20060708,9094564,6332029,828829.0,2127866
Minnesota,2004,822245.0,8688315,507014,6019336,2161965,8963393,4506036,2087673,653077.0,1039748
Mississippi,2004,492557.0,3481643,516520,1907476,1057647,3473928,1831472,1035599,216747.0,322751
Missouri,2004,914055.0,7893957,620282,3460158,3813517,7896438,4061388,2357707,449882.0,739399
Montana,2004,148168.0,1270790,191840,560584,518366,1241417,703730,400634,51163.0,64150
Nebraska,2004,284170.0,2734724,240120,874804,1619800,2667987,1471641,712199,109956.0,296377
Nevada,2004,385414.0,3069531,221488,1850655,997388,3228619,1544881,839920,99050.0,574726
New Hampshire,2004,203359.0,2194562,119354,968313,1106895,2236010,1195488,607041,64575.0,199297
New Jersey,2004,1363189.0,21398391,893414,8779155,11725822,21467607,10880932,6888193,744615.0,1970698
New Mexico,2004,323066.0,2855893,492102,1989564,374227,2882631,1340535,913532,140297.0,443894
New York,2004,2842785.0,40820776,3058888,17705556,20056332,42953568,25761741,10702312,1168325.0,3867760
North Carolina,2004,1325707.0,10569600,1019981,6115388,3434231,10263463,5585476,2870473,552701.0,943558
North Dakota,2004,101889.0,925393,134759,336722,453912,957480,481403,249023,62816.0,97116
Ohio,2004,1797666.0,18878773,1272090,8145107,9461576,19375400,9406363,6384403,811755.0,2139831
Oklahoma,2004,625826.0,4622080,593693,2360286,1668101,4400069,2141737,1450284,437723.0,320142
Oregon,2004,549196.0,5086083,460902,2658285,1966896,5393871,2498566,1559219,168704.0,486745
Pennsylvania,2004,1756012.0,21104028,1610741,7196172,12297115,22054811,10695295,6251075,859706.0,1941824
Rhode Island,2004,156997.0,1836758,132370,739698,964690,1745707,1034632,561479,68482.0,28171
South Carolina,2004,696376.0,5961494,616660,2741127,2603707,6138231,2971895,1780063,332280.0,828530
South Dakota,2004,125156.0,1007135,156117,343216,507802,1012096,521961,306877,44816.0,105677
Tennessee,2004,911624.0,6349101,692353,2743825,2912923,6738601,3843346,1796619,356397.0,574810
Texas,2004,4267330.0,36055119,3782724,13201169,19071226,38150452,18291531,10509643,1798316.0,4812152
Utah,2004,487311.0,2997200,299200,1654191,1043809,3066684,1552853,739158,224631.0,479463
Vermont,2004,93705.0,1525776,94546,801169,630061,1550157,700068,368208,34203.0,77287
Virginia,2004,1191035.0,11151172,765353,4241483,6144336,11404055,6006830,3400515,456829.0,1125646
Washington,2004,1020990.0,8790531,749399,5416352,2624780,9009980,4446860,2579078,407707.0,1217468
West Virginia,2004,280561.0,2585084,290752,1546921,747411,2603996,1458141,784602,168905.0,181816
Wisconsin,2004,874233.0,9183588,550729,4732025,3900834,9126345,4936038,2846939,361605.0,540870
Wyoming,2004,86925.0,974888,95995,507155,371738,953916,483989,303976,28257.0,126574
Alabama,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944
Alaska,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700
Arizona,2005,919875.0,7550109,897553,3320196,3332360,7136794,3423716,2264931,351097.0,861286
Arkansas,2005,461667.0,3978240,447012,2995788,535440,3999608,2118580,1173643,200865.0,393713
California,2005,6307022.0,62171797,7148863,34912166,20110768,66196072,31070450,18046385,3132465.0,10223657
Colorado,2005,765388.0,6910296,472246,2954915,3483135,7284280,3380399,2343655,260280.0,918985
Connecticut,2005,552512.0,7898694,401558,2886076,4611060,7452057,4177845,2200133,277388.0,496778
Delaware,2005,112562.0,1431710,106513,894498,430699,1480157,761786,424220,62086.0,172879
District of Columbia,2005,62306.0,1109605,167922,0,941683,1085658,459063,450060,38671.0,134417
Florida,2005,2645280.0,23216404,2328513,9940813,10947078,23857012,11270907,6876508,1363005.0,3803764
Georgia,2005,1552758.0,14724731,1375318,6449103,6900310,14492666,7886069,3954215,658022.0,1794894
Hawaii,2005,183185.0,2274166,236973,1986615,50578,1765805,1007207,559178,137949.0,61471
Idaho,2005,253782.0,1796035,192039,1023550,580446,1819519,989703,531569,77321.0,181622
Illinois,2005,2072437.0,21611180,1835598,7152163,12623419,22035569,11063949,6900767,755227.0,2137191
Indiana,2005,1014528.0,11653165,708922,5224277,5719966,11071431,5343758,3228234,413599.0,982893
Iowa,2005,478319.0,4638125,363930,2051926,2222269,4599549,2323233,1301312,214893.0,538313
Kansas,2005,468481.0,4223632,356865,2360120,1506647,4076597,2174402,1257432,183824.0,308365
Kentucky,2005,674502.0,5444309,646215,3121503,1676591,5750671,2864633,1660844,336579.0,741433
Louisiana,2005,717625.0,5975074,844640,2787542,2342892,5941561,3264689,1854202,362965.0,350658
Maine,2005,198745.0,2324789,197651,895595,1231543,2325138,1355800,620991,96318.0,128520
Maryland,2005,865561.0,9906219,670998,3729262,5505959,9782665,5154440,2934277,407619.0,947970
Massachusetts,2005,955225.0,12976279,761359,5434971,6779949,12726283,7203922,3750687,391078.0,803602
Michigan,2005,1721351.0,19106382,1513264,10990030,6603088,20489512,9269314,6479470,841610.0,1937442
Minnesota,2005,814660.0,8777363,529037,5912340,2335986,9082593,4637773,2157574,646632.0,937357
Mississippi,2005,494382.0,3639643,552628,1958500,1128515,3610904,1935459,1096574,231190.0,281713
Missouri,2005,902659.0,8340865,694008,3640728,4006129,8170965,4224716,2452665,457530.0,708726
Montana,2005,146552.0,1293070,191687,578321,523062,1268328,721019,412180,53055.0,59998
Nebraska,2005,284553.0,2895640,295968,878576,1721096,2708776,1487488,751435,127968.0,264339
Nevada,2005,399727.0,3381646,251421,1996995,1133230,3483540,1665706,926213,115483.0,584219
New Hampshire,2005,202223.0,2332695,125956,878957,1327782,2333264,1261140,651058,65668.0,163780
New Jersey,2005,1368959.0,23026334,937945,9340953,12747436,23023365,11575456,7408034,817943.0,2179605
New Mexico,2005,326102.0,2982991,480888,2102670,399433,3011696,1395996,955266,149000.0,466166
New York,2005,2816426.0,43936450,3156023,19202847,21577580,45086872,27866708,11303872,1182179.0,3342778
North Carolina,2005,1347177.0,11098165,1116670,6440768,3540727,10917913,6160224,3039968,580213.0,791873
North Dakota,2005,100413.0,969520,148482,341066,479972,985502,501563,258404,64839.0,88341
Ohio,2005,1778784.0,19746239,1413888,8313858,10018493,19785561,9700668,6526386,830761.0,2046199
Oklahoma,2005,629145.0,4892548,678448,2440741,1773359,4785987,2303527,1569038,467321.0,397131
Oregon,2005,550502.0,5022050,498217,2440758,2083075,5597579,2671228,1680005,181133.0,364717
Pennsylvania,2005,1755560.0,22657782,1750988,7667114,13239680,23183924,11284717,6638401,920319.0,1914407
Rhode Island,2005,153596.0,1903472,145957,747359,1010156,1790591,1023496,616544,74850.0,20070
South Carolina,2005,701176.0,6337711,639308,2832245,2866158,6572191,3134658,1903030,342107.0,938347
South Dakota,2005,124862.0,1053504,176738,350316,526450,1059303,539413,316892,46872.0,124727
Tennessee,2005,940769.0,6806262,787269,2962151,3056842,7067521,4120045,1907907,378064.0,483208
Texas,2005,4334611.0,37783715,4095588,13017433,20670694,40302144,18950703,10963041,1883727.0,5592231
Utah,2005,488055.0,3181279,326400,1729443,1125436,3188018,1632553,771298,241992.0,467720
Vermont,2005,92819.0,1628681,95016,1090494,443171,1634534,739981,392627,36577.0,63280
Virginia,2005,1203697.0,12182657,826830,4871813,6484014,12385157,6565022,3699703,510204.0,1180309
Washington,2005,1019925.0,9141383,796450,5588494,2756439,9399603,4629347,2692637,428619.0,1292543
West Virginia,2005,279456.0,2701056,329159,1607433,764464,2698703,1524187,852145,174265.0,137026
Wisconsin,2005,869301.0,9584108,565072,4770290,4248746,9433502,5128207,2944041,382137.0,472358
Wyoming,2005,84146.0,1132160,106484,585789,439887,1033603,510498,324752,29657.0,158464
Alabama,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550
Alaska,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931
Arizona,2006,947266.0,8084068,963600,3635388,3485080,7934177,3733989,2436340,392902.0,1143569
Arkansas,2006,472609.0,4247664,482038,3108910,656716,4343877,2265821,1297593,211065.0,449548
California,2006,6295994.0,66302860,7421482,37439651,21441727,68722432,32387671,19079354,3259244.0,10047331
Colorado,2006,778842.0,7295561,520673,3087795,3687093,7803324,3562901,2518038,298896.0,1024225
Connecticut,2006,549744.0,8436197,388080,3148507,4899610,7982143,4406855,2354944,290868.0,603391
Delaware,2006,114371.0,1544615,109044,969809,465762,1646885,817872,467410,64658.0,227679
District of Columbia,2006,59616.0,1092863,127371,0,965492,1081887,478688,433933,39503.0,126807
Florida,2006,2663973.0,25423686,2460004,10215772,12747910,26609155,12211602,7492039,1437303.0,4860930
Georgia,2006,1597682.0,16165924,1455212,7136011,7574701,15839227,8583817,4432252,708588.0,1930006
Hawaii,2006,182818.0,2705532,225393,2431735,48404,1939968,1077351,643718,143911.0,74988
Idaho,2006,258314.0,1875346,201040,1046128,628178,1903720,1027985,557225,82623.0,189807
Illinois,2006,2097585.0,22724326,1886721,7144629,13692976,22622323,11327481,7242674,818234.0,2021097
Indiana,2006,1026106.0,11578988,740036,5380185,5458767,11260755,5348450,3313154,424213.0,985099
Iowa,2006,483482.0,4898509,397290,2158255,2342964,4930613,2425326,1428006,215683.0,592789
Kansas,2006,467279.0,4648920,340728,2640757,1667435,4439000,2378494,1345794,191458.0,358866
Kentucky,2006,679621.0,6002056,680251,3439085,1882720,6112978,3082253,1830653,356721.0,686124
Louisiana,2006,648313.0,6780668,1276913,2814302,2689453,6032182,3167501,1962367,338521.0,454736
Maine,2006,195675.0,2381908,201447,947857,1232604,2381439,1376177,660506,101979.0,115871
Maryland,2006,860021.0,10697117,663284,4189334,5844499,10585292,5535192,3217615,448422.0,1037525
Massachusetts,2006,949951.0,14160242,749362,6175593,7235287,13503621,7613569,3989906,413514.0,904979
Michigan,2006,1714416.0,19714584,1524718,11172247,7017619,20626758,9400832,6627833,872945.0,1842154
Minnesota,2006,812040.0,9314477,558287,6368364,2387826,9671933,4818788,2317030,697359.0,1063443
Mississippi,2006,493952.0,4279581,856762,2108733,1314086,4066036,2096028,1244115,243110.0,413302
Missouri,2006,913765.0,8846493,740742,3830104,4275647,8654672,4483151,2619786,467463.0,758141
Montana,2006,145259.0,1375638,190226,626958,558454,1377599,753664,442662,56642.0,97873
Nebraska,2006,285547.0,3107061,301764,948001,1857296,2867250,1570629,805633,128776.0,280954
Nevada,2006,412747.0,3691628,258814,2137351,1295463,4022979,1840698,1088646,119224.0,760380
New Hampshire,2006,201044.0,2459051,130088,925677,1403286,2494247,1332640,696005,68406.0,201565
New Jersey,2006,1371155.0,23915685,982557,9540387,13392741,24177714,12309954,7892051,837293.0,2033738
New Mexico,2006,326761.0,3094036,446994,2197044,449998,3099738,1500318,1016791,153346.0,385590
New York,2006,2787366.0,47018793,3340216,20183518,23495059,48359774,29589517,11898562,1264799.0,3970683
North Carolina,2006,1378306.0,11709885,1184622,6846954,3678309,11725031,6342589,3344466,618610.0,1052527
North Dakota,2006,98172.0,1008339,151248,348475,508616,1017084,513113,269235,68526.0,92963
Ohio,2006,1769200.0,20957714,1479925,8695982,10781807,20589584,10048571,6796495,852673.0,2177340
Oklahoma,2006,634468.0,5120286,654807,2570987,1894492,5094695,2437935,1677749,492085.0,436567
Oregon,2006,556185.0,5429145,516962,2737088,2175095,5386128,2834418,1803634,189427.0,319231
Pennsylvania,2006,1752402.0,23950553,1794419,7973651,14182483,24195122,11675380,7025760,966663.0,2009924
Rhode Island,2006,150112.0,2004709,149493,797349,1057867,1983578,1120778,690355,80127.0,28706
South Carolina,2006,699027.0,6752813,664113,3023114,3065586,7148083,3310899,2071441,366285.0,1128702
South Dakota,2006,121718.0,1086433,177452,355719,553262,1052315,552199,334845,48881.0,86227
Tennessee,2006,953514.0,7195519,793477,3097824,3304218,7395357,4248091,1995464,395656.0,573015
Texas,2006,4450272.0,41142403,4735208,13503141,22904054,43394244,20299749,11672256,1980118.0,6170544
Utah,2006,496507.0,3381146,342862,1825910,1212374,3371338,1709307,821539,255128.0,504723
Vermont,2006,90850.0,1725093,102791,1153104,469198,1711762,763591,410862,37607.0,59192
Virginia,2006,1213616.0,13153845,866982,5126114,7160749,13481336,7024659,3974403,538026.0,1298749
Washington,2006,1031668.0,9679682,801941,5899155,2978586,9915617,4826779,2852334,440909.0,1422488
West Virginia,2006,279788.0,2814536,346628,1649661,818247,2852607,1569685,897874,184320.0,187462
Wisconsin,2006,869596.0,9855692,580810,5066552,4208330,9779642,5290595,3064437,400780.0,545716
Wyoming,2006,86155.0,1150345,115937,507178,527230,1146527,571127,362807,34310.0,168214
Alabama,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816
Alaska,2007,132197.0,1800616,282270,1052357,465989,1938755,927307,645857,60699.0,257723
Arizona,2007,969875.0,8724434,953861,4204089,3566484,8709531,3977800,2656438,403069.0,1436673
Arkansas,2007,474532.0,4415981,483689,3319030,613262,4779308,2337748,1378576,450454.0,470562
California,2007,6288686.0,72516936,7200298,42333637,22983001,73225422,34685013,20655194,3467540.0,10058842
Colorado,2007,790211.0,7689014,529854,3307016,3852144,8039146,3782300,2483095,286754.0,1083411
Connecticut,2007,549230.0,8913149,386553,3299175,5227421,8685421,4610572,2503468,311943.0,913165
Delaware,2007,114678.0,1694929,102114,1071957,520858,1705204,825084,481610,68343.0,245757
District of Columbia,2007,56943.0,1148358,134700,0,1013658,1140506,491992,437772,40703.0,167103
Florida,2007,2656176.0,28898362,2489027,11578932,14830403,29849892,13476109,8136539,1515095.0,5992654
Georgia,2007,1628409.0,17755989,1475463,7907177,8373349,17389530,9507096,4672304,757339.0,2271958
Hawaii,2007,180728.0,2985593,256696,2681049,47848,2199604,1177781,732536,151243.0,138044
Idaho,2007,262935.0,2011951,202977,1338182,470792,1960472,1069134,590192,86738.0,163583
Illinois,2007,2101075.0,23897153,1862627,7566377,14468149,23401917,11692204,7509591,834000.0,2082140
Indiana,2007,1034588.0,10458932,765168,5224450,4469314,11462062,5511104,3351081,448190.0,887670
Iowa,2007,483122.0,5194536,390585,2279228,2524723,5198975,2557629,1480218,221002.0,647628
Kansas,2007,468974.0,5038100,346441,2889107,1802552,4823931,2602503,1418802,199749.0,427238
Kentucky,2007,646360.0,6226696,677570,3557084,1992042,6351636,3184235,1877438,371495.0,755710
Louisiana,2007,662302.0,7048732,1234006,2911249,2903477,6657341,3430268,2140586,363037.0,618284
Maine,2007,193539.0,2538161,198101,1081891,1258169,2501127,1459635,710785,111153.0,91361
Maryland,2007,851640.0,11674965,661677,4684827,6328461,11541225,6031042,3503877,474728.0,1170502
Massachusetts,2007,945070.0,14407777,754202,6485380,7168195,14315518,8053653,4248353,422102.0,951016
Michigan,2007,1686473.0,20576110,1541818,11383198,7651094,19839838,9608836,6721838,871870.0,1629007
Minnesota,2007,810104.0,9693509,546297,6267386,2879826,10030105,5048143,2405182,730882.0,1074228
Mississippi,2007,494135.0,4220926,712846,2214700,1293380,4158733,2160396,1296685,251539.0,379581
Missouri,2007,910142.0,8908844,730811,3641310,4536723,9245525,4743390,2738098,485391.0,925265
Montana,2007,144258.0,1474306,190631,702476,581199,1442434,793711,463422,58824.0,100592
Nebraska,2007,287135.0,3234014,298196,992032,1943786,3117931,1673992,845739,131267.0,378827
Nevada,2007,422782.0,4006081,277849,2266751,1461481,4346371,2047045,1216122,139918.0,731227
New Hampshire,2007,198625.0,2600123,137058,936882,1526183,2608190,1395619,733978,70608.0,208008
New Jersey,2007,1363804.0,25293076,991769,10101279,14200028,25572112,13250745,8316185,868012.0,1997462
New Mexico,2007,327816.0,3272953,444466,2360542,467945,3279467,1610295,1103097,119933.0,396529
New York,2007,2754976.0,50762544,3269310,22845772,24647462,51253984,31465706,12638159,1318628.0,4216048
North Carolina,2007,1416028.0,13063307,1184934,7481148,4397225,12794086,6987589,3582953,642597.0,1166854
North Dakota,2007,96577.0,1045678,150165,355662,539851,1042175,523778,283833,69691.0,90844
Ohio,2007,1758645.0,22142424,1461326,9341723,11339375,21336580,10202242,6930905,876199.0,2595974
Oklahoma,2007,639032.0,5491931,650579,2782356,2058996,5505213,2688963,1732136,526547.0,502002
Oregon,2007,559643.0,5648586,526411,2908595,2213580,5634955,2999104,1908603,199410.0,293730
Pennsylvania,2007,1760451.0,25334577,1821479,8593421,14919677,25627083,11994620,7333616,1022492.0,2533079
Rhode Island,2007,147861.0,2100679,165167,817792,1117720,2082332,1177636,731694,85397.0,20234
South Carolina,2007,701580.0,7130274,680718,3120416,3329140,7660995,3481608,2157719,384965.0,1290372
South Dakota,2007,121158.0,1136570,174096,371645,590829,1096568,573916,335382,50283.0,105370
Tennessee,2007,978084.0,7617488,805633,3342186,3469669,7817659,4473035,2144367,414587.0,593354
Texas,2007,4513835.0,44355326,4423644,15952564,23979118,45920825,21061312,12451077,2073350.0,6654163
Utah,2007,504079.0,3656090,343915,1977900,1334275,3618540,1816456,871613,266481.0,579188
Vermont,2007,89329.0,1836316,97086,1237083,502147,1804519,800453,439237,41603.0,70359
Virginia,2007,1220440.0,14176385,890144,5796043,7490198,14700853,7630837,4338027,573603.0,1473546
Washington,2007,1026121.0,10350748,801339,6339782,3209627,10682397,5148806,3028183,463389.0,1624443
West Virginia,2007,281298.0,2905489,353571,1677212,874706,2983267,1608247,941055,189649.0,228873
Wisconsin,2007,870584.0,10154985,574090,5175386,4405509,9988878,5459295,3147269,420699.0,467948
Wyoming,2007,85034.0,1477891,111051,722364,644476,1390344,661713,428613,42353.0,246698
Alabama,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799
Alaska,2008,130624.0,2188587,303399,1419318,465870,2274819,1113396,740000,65654.0,307512
Arizona,2008,987332.0,9272152,989340,4458836,3823976,9581201,4251747,2878922,443634.0,1571620
Arkansas,2008,476110.0,4608356,488378,3487063,632915,4720720,2388502,1462092,248189.0,463449
California,2008,6258421.0,74626928,7227456,43187637,24211835,76618865,36542347,22310865,3692956.0,9388155
Colorado,2008,796824.0,8070129,543952,3398303,4127874,8884786,4221868,2765773,314078.0,1157579
Connecticut,2008,544417.0,9322225,386592,3520752,5414881,9046750,4878853,2669596,313708.0,826090
Delaware,2008,114062.0,1694998,104304,1037624,553070,1746925,852701,494996,72590.0,241390
District of Columbia,2008,58191.0,1224312,85568,0,1138744,1224785,520090,439197,43032.0,202768
Florida,2008,2645680.0,30001821,2480218,11830218,15691385,31219589,14392625,8465282,1558863.0,5980134
Georgia,2008,1646010.0,18683630,1449557,8432720,8801353,19172087,10289480,5115445,813562.0,2703375
Hawaii,2008,179897.0,2541703,310732,2154313,76658,2242408,1281836,742938,123179.0,94455
Idaho,2008,265844.0,2151476,205035,1409151,537290,2001328,1124302,627415,94898.0,93431
Illinois,2008,2099118.0,25431714,1996023,8357924,15077767,25696866,12676038,8161836,885452.0,2559210
Indiana,2008,1033329.0,11340157,808860,5367296,5164001,10865851,5504992,3433093,461943.0,941950
Iowa,2008,485114.0,5496908,391985,2465108,2639815,5495756,2737356,1560614,220771.0,672361
Kansas,2008,467743.0,5378095,344198,3138799,1895098,5122049,2770019,1540862,213301.0,428160
Kentucky,2008,666019.0,6637062,697220,3841470,2098372,6793215,3422359,2027937,402041.0,760566
Louisiana,2008,662971.0,7751886,1290154,3376556,3085176,7599993,3879560,2344416,397140.0,787702
Maine,2008,193058.0,2594335,194914,1122001,1277420,2582293,1359995,843451,135557.0,113571
Maryland,2008,845700.0,13098112,701595,5499326,6897191,12739693,6614339,3878575,500507.0,1358068
Massachusetts,2008,937677.0,14633578,742093,6114211,7777274,14631545,8479345,4447719,441653.0,655884
Michigan,2008,1661936.0,20441973,1492685,11170772,7778516,20703780,9608877,6735708,896352.0,1375044
Minnesota,2008,807929.0,10118118,558886,6513673,3045559,10462624,5242058,2589268,768142.0,1136550
Mississippi,2008,493302.0,4449009,708253,2389484,1351272,4363308,2286231,1364586,264883.0,377201
Missouri,2008,898350.0,9335599,723460,3808601,4803538,9900419,5004354,2939293,518600.0,1070552
Montana,2008,142695.0,1562815,185898,766328,610589,1557678,831718,491537,62756.0,141860
Nebraska,2008,290912.0,3383157,321975,1091160,1970022,3325663,1784350,869629,135025.0,444442
Nevada,2008,428776.0,4338601,280898,2493641,1564062,4881218,2094491,1329327,150730.0,1058467
New Hampshire,2008,195668.0,2715463,136012,1008333,1571118,2715961,1495009,783298,74069.0,163893
New Jersey,2008,1353191.0,25916004,976009,10359646,14580349,26168480,13739017,8737387,899413.0,1625458
New Mexico,2008,329045.0,3569311,467492,2542639,559180,3599724,1732652,1129277,125528.0,569550
New York,2008,2727552.0,53147343,3129776,24036865,25980702,54870811,33446544,13610428,1375430.0,4805621
North Carolina,2008,1408316.0,13610326,1240410,8009636,4360280,13731201,7229214,3566002,718663.0,1728313
North Dakota,2008,94959.0,1104803,145770,383307,575726,1085970,552250,300054,73451.0,88292
Ohio,2008,1743920.0,22746589,1523431,9777048,11446110,21951104,10494471,7164617,896835.0,2568654
Oklahoma,2008,641682.0,5780151,642088,2957101,2180962,5667749,2773416,1823162,555187.0,459000
Oregon,2008,562632.0,6107684,515223,3200001,2392460,6407512,3217111,2061901,212339.0,621540
Pennsylvania,2008,1718588.0,26357235,1868700,9032615,15455920,26597713,12375013,7655651,1095105.0,2537699
Rhode Island,2008,143812.0,2173888,164966,836509,1172413,2175172,1229747,765970,88156.0,28023
South Carolina,2008,710685.0,7743317,693967,3916453,3132897,8167262,3745507,2467160,389371.0,1179283
South Dakota,2008,121606.0,1190917,180925,394721,615271,1172715,609848,351235,61081.0,114678
Tennessee,2008,966963.0,8086152,840919,3711646,3533587,8488521,4709467,2373319,451628.0,735501
Texas,2008,4581517.0,46245975,4501845,19923849,21820281,50205827,22845539,13360064,2214832.0,8133118
Utah,2008,556314.0,4198001,380907,2363716,1453378,4337917,2068264,948423,289783.0,929772
Vermont,2008,87919.0,1888635,94504,1290067,504064,1888133,831132,463215,44089.0,83821
Virginia,2008,1230857.0,14768120,897627,5957786,7912707,15236306,8003167,4645375,555074.0,1528769
Washington,2008,1029576.0,11195224,895642,6932500,3367082,11677666,5561706,3369299,501855.0,1797341
West Virginia,2008,281735.0,2965828,320529,1723068,922231,3068910,1667812,945152,190634.0,249687
Wisconsin,2008,867929.0,10619354,629423,5221550,4768381,10545964,5619617,3294291,451721.0,666877
Wyoming,2008,85991.0,1602514,100207,846239,656068,1517325,703831,449989,43352.0,309892
Alabama,2009,745668.0,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019.0,924956
Alaska,2009,130236.0,2158970,312667,1357747,488556,2396412,1129756,832783,70835.0,303165
Arizona,2009,981303.0,8802515,1044140,3806064,3952311,9580393,4296503,2983729,455403.0,1312659
Arkansas,2009,474423.0,4753142,534510,3530487,688145,5017352,2417974,1492691,533057.0,409763
California,2009,6234155.0,73958896,9745250,40084244,24129402,74766086,35617964,21693675,3759373.0,8881265
Colorado,2009,812068.0,8310673,560538,3634018,4116117,8682489,4108304,2708535,330128.0,1035058
Connecticut,2009,539250.0,9681268,403017,3606594,5671657,9323053,5054397,2805173,330685.0,763075
Delaware,2009,116804.0,1718993,109682,1047418,561893,1798244,877678,496383,80812.0,254460
District of Columbia,2009,44331.0,801008,75856,0,725152,805362,330698,370127,38514.0,66023
